textID,text,sentiment,index
bdc32ea43c,On the way to Malaysia...no internet access to Twit,negative,way malaysia internet access twit
6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive,juss came backk berkeleyy omg madd fun havent minute whassqoodd
d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,negative,went sleep power cut noida power back working
d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive,going home seen new twitter design quite heavenly
7d8c4c11e4,i hope unni will make the audition . fighting dahye unni !,positive,hope unni make audition fighting dahye unni
1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative,consolation got bmi tested hahaha says obesed well much unhappy minutes
2dc51711bc, That`s very funny.  Cute kids.,positive,funny cute kids
d21ab5855b," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral,ahhh slept game gonna try best watch tomorrow though hope play army
4f5267ad70,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",neutral,thats end tears fears eric prydz hero http bit hpbg
2724775d6b,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative,born raised nyc living texas past years still miss
1cbc812ece,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,case wonder really busy today coming adding tons new blogs updates stay tuned
4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative,soooooo sleeeeepy last day school today sniffle
2863f435bd,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",positive,little happy wine jeje free time cares jaja love day
d93afa85cf," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral,car happy big big dent boot hoping theyre going write crossing fingers waiting
fab6b7d16c,im an avid fan of **** magazine and i love your magazines,positive,avid fan magazine love magazines
2e7082d1c8,MAYDAY?!,neutral,mayday
c77717b103, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ÃÂ¯ÃÂ¿ÃÂ½,positive,love available dear would love help convert vids
a9d499e123,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,girl hair salon asked shall trim eyebrows old feel
ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative,egh blah boooooooooooo dunno wanna work hangovers suckkkkkk drunk mess
c3924dc9e4,:visiting my friendster and facebook,neutral,visiting friendster facebook
3d9d4b0b55,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative,donbt like peel prawns also dont like going shopping running money crawling round car looking
3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.,negative,case got new one last week thrilled mine
a3ae670885, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral,check http twittersucks com connect tweeple hate twitter
15d5f3a41b," also bored at school, its my third freelesson( freistunde )",neutral,also bored school third freelesson freistunde
3c4a21b2cb, hm... Both of us I guess...,neutral,guess
11084dac09, it is ****...u have dissappointed me that past few days,negative,dissappointed past days
d8ba2a99a9, romance zero is funny,positive,romance zero funny
e77fd45003, I`d rather do the early run..but I am a morning runner,neutral,rather early run morning runner
b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative,bah coworker ran work late bag smacked knee really hurts
6086b1f016,will be back later.  http://plurk.com/p/rp3k7,neutral,back later http plurk com
703afdc44b,Aw. Torn ace of hearts  #Hunchback,negative,torn ace hearts hunchback
90f3d2b572, what fun are you speaking of?,neutral,fun speaking
52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home",negative,lost friends alone sleepy wanna home
2a9765b7f9,I give in to easily,negative,give easily
90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive,better way spoil mum let kick back relax nice meal bottle favorite wine wine red
23e1f7dca4,Is at a photoshoot.,neutral,photoshoot
95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,positive,awesome worked good friend
c34feef039,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral,yay playing show tonight boo gonna soggy work right playing
187494c25b," If you know such agent, do let me know",neutral,know agent let know
4213627c3c,I still smell of smoke  #kitchenfire,neutral,still smell smoke kitchenfire
a4e00d4d26, a celtics-lakers rematch sounds better don`t you think? lol,positive,celtics lakers rematch sounds better think lol
04e2e334de,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral,anyone extra keane ticket promise buy drink take rad pics blog flickr etc
0c4aa867d0,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral,ride one catch one summer til pop open one
a6c61eac26, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral,good gor juz yea kno asked yesterday tha hospital talked said
94bd67443c,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral,popped say check things probably head guttah later tonight
ee9ec7a5a4," Hey, you change your twitter account, and you didn`t even tell me...",neutral,hey change twitter account even tell
bbbc46889b, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,thank yyyyyyyyyoooooooooouuuuu
58d382e07a, lucky kid...i so wanna see loserville  pity im in oz....,positive,lucky kid wanna see loserville pity
cb4d439ebc,fell asleep waiting for my ride!,neutral,fell asleep waiting ride
64ed512788,Sick. With a flu like thing.,negative,sick flu like thing
4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative,still reply simfinger problem irape parody video get response sorry guys
3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,happy star wars day everyone enjoy holiday
0c0563423e, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,neutral,miles essex give plenty warning arrive time get least one free beers
cd0d522bb1,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral,snoring annoying keeps sleeping like right lol honestly wud miss eva left love
bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,negative,miss bby wish going tomorrow make good
9339ee8e0b, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive,well working quite ready post publicly still beta testing cool new script coded
a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there,positive,sweeeeet san fran awesome love
4ce121e2ad,_Mounce yes and it lasts way past my bedtime!,neutral,mounce yes lasts way past bedtime
a3de81e1ba, Hi  how are you doing ???  *just joined twitter...*,neutral,joined twitter
55bacda5eb,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative,waiting sleeping pills kick gonna tired work tomorrow
b63ed6da62,eating ice cream and then getting ready for graduation.,neutral,eating ice cream getting ready graduation
4c41a35a2a,Happy Mothers day to all you Mums out there,positive,happy mothers day mums
61a8e11e8a," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative,casey gone piddled little carpet prolly freaked cause new get back
447dc22c81, hemp cloth is marvelous but unfortunately no,negative,hemp cloth marvelous unfortunately
3408db03a3,Gonna read a story bout adam lambert online then bed. Nighty night,neutral,gonna read story bout adam lambert online bed nighty night
92e1b6846e, We saw that in none 3D - the baddie`s the best,positive,saw none baddie best
2207d982bc,4am. And Im on the beach. Pretty,positive,beach pretty
15e01e1749," Certainly not Cheers than, huh?",neutral,certainly cheers huh
ebcdf07ac5,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative,week post horrible traumatic jumping cholla accident cholla next dirty trick pieces starting emerge hand ouch
fd9fb4f1ad,i realy wanted to go out cause its so nice but everybodys busy,negative,realy wanted cause nice everybodys busy
6b018d3d2d, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive,awesome ocean beach know way yourbiggestfan big fan
327a009a7d,at least I get to watch over time  Let`s go Pens!!,neutral,least get watch time let pens
d0d3c6f298, cool i wear black most of the time when i go out,neutral,cool wear black time
40649553ef, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive,haha know work blip apart obvious thanks reblipping song nice day
561b44a42f, have a safe trip joshy poo.......you`ll knock them dead at your speech,positive,safe trip joshy poo knock dead speech
a05aea73d7," woof, I wish I was allowed to go",positive,woof wish allowed
9c4817f73b,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,neutral,friendster add email adress add lococrime com add leave comment
f0c1601d8b,  has tickets.......?,neutral,tickets
d421fbd332,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive,thank afrin nasal spray also got giant teacup tonight
99b7ec4b0b, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral,acsm unfathomable think one one kept comfort bedrooms yes
a655fbb5eb,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive,aww love daddy works days week almost day still tries
43e9a93104,So many tests todayyy  I don`t feel confident about anyy.,negative,many tests todayyy feel confident anyy
401869d615,graduation is done  im a little sad.. anyone want to hang out???,negative,graduation done little sad anyone want hang
9843c4688e, hahaa your awesomee !,positive,hahaa awesomee
87fbf14655,holy smokes! star trek was freaking awesomeeeee,positive,holy smokes star trek freaking awesomeeeee
22d1806fa0,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral,hate fallout keeps making jump also low health money ammo food worry get
9d2cffd953," I had it! On my itunes, but then I lost all my songs.",neutral,itunes lost songs
f78761f7ec,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral,gloomy weather sun must tired come play heading victoria gardens impulse buys haha
66057d58c2,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative,looking forward next week maths geography english french exams totalling hours
af90ad5989," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative,poor get outside sleep garden sun good forget suncream
f0460d611d,not well,negative,well
6649f3558c, Not a prob hun,positive,prob hun
24532ab83c,"at dads, watching some mtv and am going on sims2 in a minutee",neutral,dads watching mtv going sims minutee
8e1583cb08, Absolutely,neutral,absolutely
4ea61dbc7a, what`s the matter chickadee?,neutral,matter chickadee
94f67cfa6d, hey mia!  totally adore your music.  when will your cd be out?,positive,hey mia totally adore music
29dfaf5e3b,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive,shopping cleaning bmfing webcam chatting nephews nothing spesh good bank holiday monday nonetheless
974b35f889, =O you need to ask him something? Lmao I love him too,positive,need ask something lmao love
b495300bbf, those splinters look very painful...but you were being very heroic saving mr. Pickle,negative,splinters look painful heroic saving pickle
504539e6ec, why are you sad?,negative,sad
6903cb08f2, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive,nice see tweeting sunday may celebrating mother day today nice yer mom
1996048e7a,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive,decided trans frm relaxed natural hair wish whole head looked like roots age instant gratification
c6d0c7676c, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral,namaskar namaste marathi people say namaskar marathi word naaaah
ef74bab7f3," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral,congrats cuss like matter minutes know reward
f3cf8ec01b,Humous and Dorito`s.... Oh yes,neutral,humous dorito yes
cb1b0d191d,"missed all the awesome weather, because she was in a movie!",negative,missed awesome weather movie
3e67a75303,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral,today going normal day hope group pilots large airline come last night much drink
997a62f83f,"These kids are terrible! If I was in Good Evans, I`d call Childline",negative,kids terrible good evans call childline
7e1757d4f0,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative,unfortunatley aerlingus longer fly copenhagen fly ryanair billund drive copenhagen one days
254546cd2c," What`s sad is that I actually had to google that term. That sucks, tho.",negative,sad actually google term sucks tho
5069ae7a15," I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral,watched didnt want win put good fight lol
48cdcd5f28,Car-warmed Sprite tastes like sore throat,negative,car warmed sprite tastes like sore throat
1b1b02af59,Just came 11th in cross country and beat dumbo,neutral,came cross country beat dumbo
ae71041e21,Candle wax is very enjoyable.,positive,candle wax enjoyable
11c10e3fc5," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",positive,unassuming unpretentious suppose endearing relate
19526ac03e,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral,tomorrow valeria lunch going get hair done arraving late got cousins babtizm whatever spell
960bbdc0c3,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,positive,goooooddd morning tweets week three workout mention got new glasses yesterday
a5a1c996c0, fine! Going to do my big walk today 20 or so miles,positive,fine going big walk today miles
20ec7c7c32,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative,want red cruisers like ones lmfao
b948984e8d,Mmmmmmmm... ? it in the morning,neutral,mmmmmmmm morning
6824c44c21, me neither,neutral,neither
02d140362f,"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral,hours work sunday boo find time two hour lunchbreak though yeah
5f93cc70ff,Bugger. forgot I still have washing in my machine,negative,bugger forgot still washing machine
4e6a5c0034,"_Laurie sending love, blessings & healing thoughts to you & family  peace",positive,laurie sending love blessings healing thoughts family peace
e4e9b8713a,My back hurts...really bad,negative,back hurts really bad
08975f62a8," ah yes, I know that feeling",neutral,yes know feeling
4a1ce7dc3b,Night of the cookers with my dad,neutral,night cookers dad
328a0e76bd,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,negative,modem offline week god bless network tim left may schedule brutal
940eb93dd5, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,negative,parent teacher thing yesterday boring going skl saturday lol
c78bf59e67,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive,lichfield tweetup sounds like fun hope see everyone else
e73425ffdc,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral,big booming thunder storm almost maybe home early probably
e56eeb4968,Few Bevvies 2day in twn..great on a day off!!,positive,bevvies day twn great day
7162d447ab,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive,first night myers lydia actually excited summer
f3d95b57b1, good morning,positive,good morning
5e4eac2b2e, its the best show EVER!,positive,best show ever
bc02870b7d,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative,url previous post timer job http bit fdb removed space messed url
80e45e833f,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral,think hurt tooth eilish cassie drawing competiton draw cookies pineapples haha
f29df52d91, I want to know when the auditions are Mander! Text or...reply please!,neutral,want know auditions mander text reply please
557e676fe4, I miss my neice  can`t wait to see her bad n grown ****! Lol,negative,miss neice wait see bad grown lol
8d09044937,i need to get my computer fixed,neutral,need get computer fixed
9d3a1e0269,really hopes her car`s illness is not terminal...,negative,really hopes car illness terminal
7ff2dbbe25,"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral,cool people want find following today english guess english tweet
5a254fbb98, no sir...i woulda put honey...but i don`t have any,neutral,sir woulda put honey
417176c08e,who watched X-men origins: wolverine? i totally loved it! haha,positive,watched men origins wolverine totally loved haha
2bf5c7dba7, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive,voted personal myspace keep talking fakes helped thru hrdest time life
8407ac30b0, I`m sad that I missed you guys last night!,negative,sad missed guys last night
6ed347b1a5,Finally got a call for marriage counseling 3 days late....,neutral,finally got call marriage counseling days late
97625460cf, ok then,neutral,
32e4ffe225,_420 why baby?,neutral,baby
24ee55f264,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative,today last day high school ended going home sick stupid dead rats
82b75647fd,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral,impromptu pool party except know swim get
a0a306868a,lost my tooth 2day whilst i was eating gum...oww,negative,lost tooth day whilst eating gum oww
9b11b686ec,happy 1 year! <3,positive,happy year
7e7bc11e45,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive,hella forgot say official good morning like hear goooooooooooood morrrrrrrrning twitterville lol
28dbada620, *phew*  Will make a note in case anyone else runs into the same issueÃÂ¯ÃÂ¿ÃÂ½,neutral,phew make note case anyone else runs issueã
3e880ec28d,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative,vote every day
38271074d1,I`m starving!! This diet is killing me but I can`t eat after 8pm,negative,starving diet killing eat
ef12a3d183, i talk to you,neutral,talk
f0db54f5bf,im soo bored...im deffo missing my music channels,negative,soo bored deffo missing music channels
e651d415c6, nite nite bday girl  have fun at concert,positive,nite nite bday girl fun concert
931a866d3f,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral,nicotine replacement patch hours far good sleep hours getting bit twitchy
7a718b23ef,_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral,sanderson twatter lately either get replies turn
a6fccce9db,should be sleeping.  lost my voice a couple day ago.,negative,sleeping lost voice couple day ago
c017d0c221,http://twitpic.com/66xlm -  hate when my PARKED car gets hit,negative,http twitpic com xlm hate parked car gets hit
287755c5dd, I`ve heard this fall. I`m waiting too!,neutral,heard fall waiting
58c435d2cf, more nightmares?  *huggles*,neutral,nightmares huggles
e6ee6826df,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative,creeper feel disappointed cyberstalking skills internet privacy
01b2476dd7,going to bed its late and I have headache,negative,going bed late headache
e02cf4af4c,happy mother`s day to all moms out there...,positive,happy mother day moms
2dc0dc0d5d,Grabbing coffee from  then making mom breakfast,neutral,grabbing coffee making mom breakfast
1b13ed8b4b,im thinking that im going to have fun tonight....and maybe some changes are coming,positive,thinking going fun tonight maybe changes coming
b6b35af246, thanks. before the major chop.,neutral,thanks major chop
375e74d063," Haha I know, I cant handle the fame!  and thank you!",positive,haha know cant handle fame thank
4700be3234,just got up and updated my ipod,neutral,got updated ipod
4f84bea1cc, We never miss ICarly - my son has a huge crush on Miranda,positive,never miss icarly son huge crush miranda
4c73ad2888,Saw James carville in the store today. His head is really that bald,neutral,saw james carville store today head really bald
2dcd8766a8,yellow for   ? http://blip.fm/~5z05g,neutral,yellow http blip
234093bef1, which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral,means going come back vancouver way hahah
0b5c2a7d7c,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral,downloading songs trying sneak lil homework main priority songs lol
e70d294d95,@_Ra_Ra_ your not alone...i need coffee too.,neutral,rara alone need coffee
f84b89a828, Sounds like me,neutral,sounds like
ee37bea884,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral,bad day day realize mess put one happiest days life
242d92151a,Walking to class. I hate not having a bike....especially mine.,negative,walking class hate bike especially mine
f3a77c2b5e,_nesmith,neutral,nesmith
1d6411e9dd,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative,failed inspection know pass oven anti tip bracket sold oven worse taxes
151c10cc39,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive,jonas brothers live party rocking hard love song
7b1927e748,happy mother`s day to all the mothers in the world.,positive,happy mother day mothers world
9a6f4d05d5,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive,mins mins google wave demo looks lot fun would love test though http bit wnmsc
0cb4504f2c,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive,sleepy tabz heading bed fun night listened next episode joss
ae21c1ac38,The exception for a short dude: Larenz fineass Tate yum,neutral,exception short dude larenz fineass tate yum
8f3e73cf09,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive,screw reviews thought wolverine awesome enough dominic monaghan liking
c7489a23fa,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive,followed recently please dont offended followed back hit limit hopefully free soon
148ac38bea, Yes i work 6 to 3...,neutral,yes work
641555ac70," Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral,hmmm maybe meant eluded something brand new know media
4bda359cbb,Done at the spa   now meeting vic for some late lunch!,neutral,done spa meeting vic late lunch
ed084a1fa7,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive,happy monday going tavares today hope everyone blessed day
1af124bc1c, Always have wanted to go to Oz,neutral,always wanted
e98226e842, Thx,neutral,thx
85ec413e54, http://twitpic.com/4jaz5 - Cool... luv it,positive,http twitpic com jaz cool luv
7df7221145,  that`s why I need to be there...To represent the Blackberries,positive,need represent blackberries
0ab8f9c4bc,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral,okay dedicating tweet fact going apple store huge crack glass screen
06cad97de6, If only we could ever actually be allowed to stay here and do that,neutral,could ever actually allowed stay
37f6bd5ac5, Let me know how that turns out!!,neutral,let know turns
9bef0d7135, was that sass I detect?  As long as it isn`t back sass! Haha,neutral,sass detect long back sass haha
7436ec1a2c," yeah I was thinking about that ,ahaha",positive,yeah thinking ahaha
cf10e9309a, Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,neutral,sports bar shatranjanpoli rest sports bar andheri dont know whether helps google jai
ce69e99e71,I`m not sleeping at all until  accepts my appology,negative,sleeping accepts appology
6402e14398,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",negative,wolverine boss seriously
914c40995f," I live for pain, bring it on",neutral,live pain bring
258f37341e,"okay, i`m out for a while  back later!",neutral,okay back later
77ba0fee75,  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,neutral,powerblog powerblog challenge keep talking newbie follower
96a4ce0d47,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,positive,almost died laptop screen set brightness reinstalled windows vista got headache insanedefaults
5bcc50c275,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral,waiting tish get got drive moms crv pick duckie first time
c5645758be,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative,trying decide movie friends going well lol bible study nite means day cake buy
7e3c091fc2,going to shower because i don`t want to smell at school tomorrow,neutral,going shower want smell school tomorrow
869bb56451, Sigh... you know I am...,neutral,sigh know
09ad12cc5c,"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",positive,discovered cause bug new netplayer build publishing bug fix hopefully new beta tomorrow
251aa82551,Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,neutral,free twitter tools get followers http short http jijr com hulz http short http org xpg
8e0a0ffbe1,just got home from work.... and is chugging down a big bottle of apple juice.,neutral,got home work chugging big bottle apple juice
799f65f193, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative,yes please dont die cry normally leads small animals getting harmed
d06582e26d,writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive,writing report cards soooo tired amazing day check soon
dbe1d16b29, it was only once for my big brother...and I`m done now,neutral,big brother done
7809dd704a,good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,neutral,good news finally finished easactive workout paused hours bad news resistance band torn
97334eb7c0,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive,well good morning wonderful day neighborhood thanks following another morning
e1546f901a,FTSK and Mercy Mercedes were amazing tonight.. as always,positive,ftsk mercy mercedes amazing tonight always
2ece7f3810,  hope he is ok!,positive,hope
ba309a37d1,can`t school just be done already? it hurts too much... seeing him every day,positive,school done already hurts much seeing every day
84ca20505a,"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral,waited listening wind blowing tumbleweed none old enough know someone says crackerack
de8c4c410d, Hell Yeah!,neutral,hell yeah
e33d5ceea2, HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral,shirt dinner need ask actually ville
394881b7d0, i know!!,neutral,know
52d8be9124, huh what the ****? Smelly? Noooo. I love alex Vixon,neutral,huh smelly noooo love alex vixon
dabe649ee3,"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",positive,went party last night dindin showed matching outfits great minds think alike anyway happy birthday ate lara
2a5bb8d827," Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive,happy day woke side earth wishes bit late
